OS-C,Br.,Cat,English name,Scientific name,Dist,Category
935,841,FF,Yellow-browed  Camaroptera,Camaroptera  superciliosus,U,Sylviidae: Old World warblers
936,818,f,Yellow-breasted Apalis,Apalis flavida,KU,Sylviidae: Old World warblers
937,815,FF,Masked Apalis,Apalis binotata,U,Sylviidae: Old World warblers
938,815,FF,Montane Masked Apalis,Apalis personata,U,Sylviidae: Old World warblers
939,823,FF,Black-capped  Apalis,Apalis nigriceps,U,Sylviidae: Old World warblers
940,824,F,Chestnut-throated Apalis,Apalis porphyrolaema,KU,Sylviidae: Old World warblers
942,826,FF,Buff-throated  Apalis,Apalis rufogularis,KU,Sylviidae: Old World warblers
945,817,FF,Grey Apalis,Apalis cinerea,KU,Sylviidae: Old World warblers
946,813,F,Brown-headed  Apalis,Apalis alticola,K,Sylviidae: Old World warblers
947,821,FF,Black-headed  Apalis,Apalis melanocephala,K,Sylviidae: Old World warblers
948,819,FF,Black-throated Apalis,Apalis jacksoni,KU,Sylviidae: Old World warblers
949,816,FF,White-winged  Apalis,Apalis chariessa,K,Sylviidae: Old World warblers
950,825,F,Black-collared Apalis,Apalis pulchra,KU,Sylviidae: Old World warblers
951,827,FF,Collared Apalis,Apalis ruwenzorii,U,Sylviidae: Old World warblers
952,828,FF,Bar-throated Apalis,Apalis thoracica,K,Sylviidae: Old World warblers
956,882,FF,Grauer's Warbler,Graueria vittata,U,Sylviidae: Old World warblers
957,875,f,Grey-capped Warbler,Eminia lepida,KU,Sylviidae: Old World warblers
958,895,FF,Grey Longbill,Macrosphenus concolor,U,Sylviidae: Old World warblers
959,896,FF,Yellow Longbill,Macrosphenus flavicans,U,Sylviidae: Old World warblers
960,897,FF,Kretschmer's Longbill,Macrosphenus kretschmeri ,K,Sylviidae: Old World warblers
961,884,FF,Short-tailed Warbler,Hemitesia neumanni,U,Sylviidae: Old World warblers
967,923,FF,White-browed  Crombec,Sylvietta leucophrys,KU,Sylviidae: Old World warblers
968,,FF,Lemon-bellied Crombec,Sylvietta denti,U,Sylviidae: Old World warblers
969,924,F,Green Crombec,Sylvietta virens,KU,Sylviidae: Old World warblers
972,880,F,Green-capped  Eremomela,Eremomela scotops,KU,Sylviidae: Old World warblers
974,876,F,Brown-crowned  Eremomela,Eremomela badiceps,U,Sylviidae: Old World warblers
975,881,FF,Turner's Eremomela,Eremomela turneri,KU,Sylviidae: Old World warblers
979,891,F,Yellow-bellied Hyliota,Hyliota flavigaster,KU,Sylviidae: Old World warblers
980,890,F,Southern Hyliota,Hyliota australis,KU,Sylviidae: Old World warblers
981,1131,f,Abyssinian White-eye,Zosterops abyssinicus,K,Zosteropidae: White-eyes
982,1132,F,Montane White-eye,Zosterops poliogaster,K,Zosteropidae: White-eyes
983,1133,f,Yellow White-eye,Zosterops senegalensis,KU,Zosteropidae: White-eyes
987,662,FF,Stripe-breasted Tit,Parus fasciiventer,U,Paridae: Tits
988,664,FF,Dusky Tit,Parus funereus,KU,Paridae: Tits
989,666,f,Northern Black Tit,Parus leucomelas,KU,Paridae: Tits
990,661,f,White-bellied Tit,Parus albiventris,KU,Paridae: Tits
994,668,f,African Penduline Tit,Anthoscopus caroli,KU,Paridae: Tits
995,901,FF,Tit-Hylia,Pholidornis rushiae,U,Paridae: Tits
997,964,FF,Little Yellow  Flycatcher,Erythrocercus holochlorus,K,Monarchidae: Monarch flycatchers
999,966,FF,Chestnut-capped Flycatcher,Erythrocercus mccalli,U,Monarchidae: Monarch flycatchers
1000,963,f,African Blue Flycatcher,Elminia longicauda,KU,Monarchidae: Monarch flycatchers
1001,962,F,White-tailed Blue Flycatcher,Elminia albicauda,U,Monarchidae: Monarch flycatchers
1002,970,FF,White-tailed Crested Flycatcher,Trochocercus albonotatus,KU,Monarchidae: Monarch flycatchers
1003,969,FF,White-bellied Crested Flycatcher,Trochocercus albiventris,U,Monarchidae: Monarch flycatchers
1004,971,FF,Blue-mantled Crested,Trochocercus cyanomelas,KU,Monarchidae: Monarch flycatchers
1005,972,F,Dusky Crested Flycatcher,Trochocercus nigromitratus,KU,Monarchidae: Monarch flycatchers
1006,973,FF,Blue-headed Crested Flycatcher,Trochocercus nitens,U,Monarchidae: Monarch flycatchers
1007,968,f,African Paradise Flycatcher,Terpsiphone viridis,KU,Monarchidae: Monarch flycatchers
1008,967,FF,Red-bellied Paradise Flycatcher,Terpisphone  rufiventer,KU,Monarchidae: Monarch flycatchers
1009,956,FF,African Shrike-flycatcher,Bias flammulatus,KU,"Platysteiridae: Batises,  wattle-eyes and relatives"
1010,955,f,Black-and-white Flycatcher,Bias musicus,KU,"Platysteiridae: Batises,  wattle-eyes and relatives"
1011,950,FF,Forest Batis,Batis mixta,K,"Platysteiridae: Batises,  wattle-eyes and relatives"
1012,948,F,Ruwenzori Batis,Batis diops,U,"Platysteiridae: Batises,  wattle-eyes and relatives"
1014,954,F,Pale Batis,Batis soror,K,"Platysteiridae: Batises,  wattle-eyes and relatives"
1018,,FF,lturi Batis,Batis ituriensis,U,"Platysteiridae: Batises,  wattle-eyes and relatives"
1019,960,f,Common Wattle-eye,Platysteira cyanea,KU,"Platysteiridae: Batises,  wattle-eyes and relatives"
1020,961,F,Black-throated Wattle-eye,Platysteira peltata,KU,"Platysteiridae: Batises,  wattle-eyes and relatives"
1021,958,FF,Chestnut Wattle-eye,Dyaphorophyia  castanea,KU,"Platysteiridae: Batises,  wattle-eyes and relatives"
1022,957,FF,Jameson's Wattle-eye,Dyaphorophyia  jamesoni,KU,"Platysteiridae: Batises,  wattle-eyes and relatives"
1023,959,FF,Yellow-bellied Wattle-eye,Dyaphorophyia  concreta,KU,"Platysteiridae: Batises,  wattle-eyes and relatives"
1024,1042,FF,Red-billed Helmet-Shrike,Prionops caniceps,U,"Platysteiridae: Batises,  wattle-eyes and relatives"
1027,1045,f,Retz' s Helmet-Shrike,Prionops retzii,K,"Platysteiridae: Batises,  wattle-eyes and relatives"
1028,1046,F,Chestnut-fronted Helmet-Shrike,Prionops scopifrons,K,"Platysteiridae: Batises,  wattle-eyes and relatives"
1038,1035,f,Mackinnon's Fiscal,Lanius mackinnoni,KU,Laniidae: Shrikes
1051,1013,F,Bocage's Bush-Shrike,Malaconotus bocagei,KU,Malaconotidae: Bush-Shrikes
1052,1019,f,Sulphur-breasted Bush-Shrike,Malaconotus sulfureopectus,KU,Malaconotidae: Bush-Shrikes
1053,1017,FF,Black-fronted Bush-Shrike,Malaconotus nigrifrons,K,Malaconotidae: Bush-Shrikes
1054,1017,FF,Many-coloured  Bush-Shrike,Malaconotus multicolor,U,Malaconotidae: Bush-Shrikes
1055,1015,F,Doherty' s Bush-Shrike,Malconotus dohertyi,KU,Malaconotidae: Bush-Shrikes
1056,1018,F,Four-coloured  Bush-Shrike,Malconotus quadricolor,K,Malaconotidae: Bush-Shrikes
1057,1014,FF,Fiery-breasted Bush-Shrike,Malaconotus cruentus,U,Malaconotidae: Bush-Shrikes
1058,1016,FF,Lagden's Bush-Shrike,Malaconotus lagdeni,U,Malaconotidae: Bush-Shrikes
1063,1008,F,Liihder's Bush-Shrike,Laniarius luehderi,KU,Malaconotidae: Bush-Shrikes
1064,1004,f,Tropical Boubou,Laniarius aethiopicus,KU,Malaconotidae: Bush-Shrikes
1068,1005,F,Montane Sooty Boubou,Laniarius poensis,U,Malaconotidae: Bush-Shrikes
1069,1007,FF,Sooty Boubou,Laniarius leucorhynchus,U,Malaconotidae: Bush-Shrikes
1071,1000,F,Northern Puftback,Dryoscopus gambensis,KU,Malaconotidae: Bush-Shrikes
1072,999,F,Black-backed  Puftback,Dryoscopus cub/a,K,Malaconotidae: Bush-Shrikes
1073,1002,FF,Red-eyed  Puftback,Dryoscopus senegalensis,U,Malaconotidae: Bush-Shrikes
1075,998,FF,Pink-footed Puftback,Dryoscopus angolensis,KU,Malaconotidae: Bush-Shrikes
1076,688,f,Black Cuckoo-shrike,"Campephaga  fla,va",KU,Campephagidae: Cuckoo-shrikes
1077,690,f,Red-shouldered Cuckoo-,Campephaga phoenicea,KU,Campephagidae: Cuckoo-shrikes
1078,689,FF,"shrike
Petit's Cucko- shrike",Campephaga  petiti,KU,Campephagidae: Cuckoo-shrikes
1079,691,FF,Purple-throated Cuckoo-,Campephaga quiscalina,KU,Campephagidae: Cuckoo-shrikes
1080,693,FF,"shrike
Grey Cuckoo-shrike",Coracina caesia,KU,Campephagidae: Cuckoo-shrikes
1083,644,F,Velvet-mantled Drongo,Dicrurus modestus,KU,Dicruridae: Drongos
1084,645,F,Square-tailed  Drongo,Dicrurus ludwigii,KU,Dicruridae: Drongos
1085,651,f,Eurasian Golden Oriole,Orio/us oriolus,KU,Oriolidae: Orioles
1086,646,f,African Golden Oriole,Orio/us auratus,KU,Oriolidae: Orioles
1087,649,f,Black-headed  Oriole,Orio/us larvatus,KU,Oriolidae: Orioles
1088,652,FF,Montane Oriole,Orio/us percivali,KU,Oriolidae: Orioles
1089,647,F,Western Black-headed,Orio/us brachyrhynchus,KU,Oriolidae: Orioles
1090,648,F,"Oriole
Green-headed  Oriole",Orio/us chlorocephalus,K,Oriolidae: Orioles
1091,650,FF,Black-winged Oriole,Orio/us nigripennis,U,Oriolidae: Orioles
1099,1069,FF,Narrow-tailed  Starling,Poeoptera lugubris,U,Sturnidae: Starlings and oxpeckers
1100,1070,FF,Stuhlmann' s Starling,Poeoptera stuhlmanni,KU,Sturnidae: Starlings and oxpeckers
1101,1068,FF,Kenrick's Starling,Poeoptera kenricki,K,Sturnidae: Starlings and oxpeckers
1102,1067,FF,Waller's Starling,Onychognathus walleri,KU,Sturnidae: Starlings and oxpeckers
1103,1064,f,Red-winged Starling,Onychognathus morio,KU,Sturnidae: Starlings and oxpeckers
1104,1063,FF,Chestnut-winged Starling,Onychognathus  fulgidus,U,Sturnidae: Starlings and oxpeckers
1105,1066,F,Slender-billed Starling,Onychognathus tenuirostris,KU,Sturnidae: Starlings and oxpeckers
1107,1058,F,Purple-headed Starling,Lamprotomis purpureiceps,U,Sturnidae: Starlings and oxpeckers
1108,1057,F,Black-bellied Starling,Lamprotomis corruscus,K,Sturnidae: Starlings and oxpeckers
1109,1061,F,Splendid Starling,Lamprotomis splendidus,KU,Sturnidae: Starlings and oxpeckers
1121,1048,f,Violet-backed Starling,Cinnyricinclus leucogaster,KU,Sturnidae: Starlings and oxpeckers
1122,1047,FF,Abbott's Starling,Cinnyricinclus femoralis,K,Sturnidae: Starlings and oxpeckers
1123,1049,FF,Sharpe's Starling,Cinnyricinclus sharpii,KU,Sturnidae: Starlings and oxpeckers
1131,1081,FF,Grey-headed Sunbird,Anthreptes fraseri,U,Nectarinidae:  Sunbirds
1132,1088,FF,Plain-backed Sunbird,Anthreptes reichenowi,K,Nectarinidae:  Sunbirds
1134,1082,f,Western Violet-backed Sunbird,Anthreptes longuemarei,KU,Nectarinidae:  Sunbirds
1136,1083,FF,Uluguru Violet-backed Sunbird,Anthreptes neglectus,K,Nectarinidae:  Sunbirds
1137,1085,FF,Amani Sunbird,Anthreptes pallidigaster,K,Nectarinidae:  Sunbirds
1138,1087,FF,Green Sunbird,Anthreptes rectirostris,KU,Nectarinidae:  Sunbirds
1140,1080,F,Collared Sunbird,Anthreptes collaris,KU,Nectarinidae:  Sunbirds
1142,1121,F,Little Green Sunbird,Nectarinia seimundi,U,Nectarinidae:  Sunbirds
1143,1112,FF,Olive Sunbird,Nectarinia olivacea,KU,Nectarinidae:  Sunbirds
1144,1129,f,Mouse-coloured Sunbird,Nectarinia veroxii ,K,Nectarinidae:  Sunbirds
1145,1090,FF,Blue-headed Sunbird,Nectarinia alinae,U,Nectarinidae:  Sunbirds
1146,1130,F,Green-headed Sunbird,Nectarinia verticalis,KU,Nectarinidae:  Sunbirds
1147,1097,FF,Blue-throated Brown Sunbird,Nectarinia cyanolaema,U,Nectarinidae:  Sunbirds
1148,1120,F,Green-throated Sunbird,Nectarinia rubescens,KU,Nectarinidae:  Sunbirds
1149,1091,f,Amethyst Sunbird,Nectarinia amethystina,KU,Nectarinidae:  Sunbirds
1152,1128,f,Variable Sunbird,Nectarinia venusta,KU,Nectarinidae:  Sunbirds
1156,1094,F,Olive-bellied Sunbird,Nectarinia chloropygia,KU,Nectarinidae:  Sunbirds
1157,1109,F,Tiny Sunbird,Nectarinia minulla,U,Nectarinidae:  Sunbirds
1158,1105,F,Greater Double-collared Sunbird,Nectarinia afra,U,Nectarinidae:  Sunbirds
1159,1115,F,Northern Double-collared Sunbird,Nectarinia  preussi,KU,Nectarinidae:  Sunbirds
1161,1108,F,Eastern Double-collared,Nectarinia mediocris,K,Nectarinidae:  Sunbirds
1163,1118,F,"Sunbird
Regal Sunbird",Nectarinia regia,U,Nectarinidae:  Sunbirds
1166,1092,f,Purple-banded Sunbird,Nectarinia bifasciata,KU,Nectarinidae:  Sunbirds
1169,1093,F,Orange-tufted Sunbird,Nectarinia bouvieri,KU,Nectarinidae:  Sunbirds
1176,1096,f,Copper Sunbird,Nectarinia cuprea,KU,Nectarinidae:  Sunbirds
1177,1126,f,Tacazze Sunbird,Nectarinia tacazze,KU,Nectarinidae:  Sunbirds
1178,1117,F,Purple-breasted Sunbird,Nectarinia bifasciata,U,Nectarinidae:  Sunbirds
1179,1103,f,Bronze Sunbird,Nectarinia kilimensis,KU,Nectarinidae:  Sunbirds
1180,1119,f,Golden-winged Sunbird,Nectarinia reichenowi,KU,Nectarinidae:  Sunbirds
1181,1099,F,Malachite Sunbird,Nectarinia famosa,KU,Nectarinidae:  Sunbirds
1183,1125,F,Superb Sunbird,Nectarinia superba,KU,Nectarinidae:  Sunbirds
1203,1134,f,Grosbeak Weaver,Amblyospiza albifrons,KU,Ploceidae: Weavers and relatives
1204,1184,f,Compact Weaver,Ploceus superciliosus,KU,Ploceidae: Weavers and relatives
1205,1159,f,Baglafecht Weaver,Ploceus baglafecht,KU,Ploceidae: Weavers and relatives
1207,1179,f,Slender-billed Weaver,Ploceus pelzelni,KU,Ploceidae: Weavers and relatives
1209,1176,f,Black-necked  Weaver,Ploceus nigricollis,KU,Ploceidae: Weavers and relatives
1210,1177,f,Spectacled Weaver,Ploceus ocularis,KU,Ploceidae: Weavers and relatives
1211,1174,FF,Black-billed Weaver,Ploceus melanogaster,KU,Ploceidae: Weavers and relatives
1212,1157,F,Strange Weaver,Ploceus alienus,U,Ploceidae: Weavers and relatives
1215,1158,f,Orange Weaver,Ploceus aurantius,KU,Ploceidae: Weavers and relatives
1219,1164,f,Northern Brown-throated,Ploceus castanops,KU,Ploceidae: Weavers and relatives
1233,1175,f,"Weaver
Vieillot's Black Weaver",Ploceus nigerrimus,KU,Ploceidae: Weavers and relatives
1234,1188,F,Weyn's Weaver,Ploceus weynsi,U,Ploceidae: Weavers and relatives
1235,1167,FF,Clarke's Weaver,Ploceus golandi,K,Ploceidae: Weavers and relatives
1237,1186,FF,Yellow-mantled Weaver,Ploceus tricolor,KU,Ploceidae: Weavers and relatives
1238,1156,FF,Maxwell's Black Weaver,Ploceus albinucha,U,Ploceidae: Weavers and relatives
1239,1161,F,Dark-backed Weaver,Ploceus bicolor,KU,Ploceidae: Weavers and relatives
1240,1169,FF,Brown-capped  Weaver,Ploceus insignis,KU,Ploceidae: Weavers and relatives
1243,1154,F,Blue-billed Malimbe,Malimbus nitens,U,Ploceidae: Weavers and relatives
1244,1153,F,Crested Malimbe,Malimbus malimbicus,U,Ploceidae: Weavers and relatives
1245,1152,FF,Cassin' s Malimbe,Malimbus cassini,U,Ploceidae: Weavers and relatives
1246,1155,FF,Red-headed Malimbe,Malimbus rubricollis,KU,Ploceidae: Weavers and relatives
1268,1252,FF,Red-fronted Antpecker,Parmoptila woodhousei,U,Estrildidae: Waxbills
1269,1246,F,Grey-headed  Negrofinch,Nigrita canicapilla,KU,Estrildidae: Waxbills
1270,1248,F,Pale-fronted  Negrofinch,Nigrita luteifrons,U,Estrildidae: Waxbills
1271,1245,FF,Chestnut-breasted,Nigrita bicolor,U,Estrildidae: Waxbills
1272,1247,F,"Negrofinch
White-breasted Negrofinch",Nigrita fusconota,KU,Estrildidae: Waxbills
1273,1243,f,White-collared Oliveback,Nesocharis ansorgei,U,Estrildidae: Waxbills
1274,1244,f,Grey-headed Oliveback,Nesocharis capistrata,U,Estrildidae: Waxbills
1278,1223,F,Red-faced Crimsonwing,Cryptospiza  reichenovii,U,Estrildidae: Waxbills
1279,1224,F,Abyssinian Crimsonwing,Cryptospiza  salvadorii,KU,Estrildidae: Waxbills
1280,1222,F,Dusky Crimsonwing,Cryptospiza  jacksoni,U,Estrildidae: Waxbills
1281,1225,F,Shelley's Crimsonwing,Cryptospiza shelleyi,U,Estrildidae: Waxbills
1282,1254,F,Black-bellied Seedcracker,Pyrenestes ostrinus,U,Estrildidae: Waxbills
1284,1258,FF,Grant's Bluebill,Spermophaga  poliogenys,U,Estrildidae: Waxbills
1285,1259,F,Red-headed  Bluebill,Spermophaga ruficapilla,KU,Estrildidae: Waxbills
1286,1235,F,Peters' s Twinspot,Hypargos niveoguttatus,K,Estrildidae: Waxbills
1287,1242,FF,Green-backed  Twinspot,Mandingoa nitidula,KU,Estrildidae: Waxbills
1288,1221,f,Brown Twinspot,Clytospiza monteiri,KU,Estrildidae: Waxbills
1290,1220,f,Dusky Twinspot,Euschistospiza cinereovinacea,U,Estrildidae: Waxbills
1299,1229,f,Yellow-bellied Waxbill,Estrilda quartinia,KU,Estrildidae: Waxbills
1304,1230,f,Black-crowned  Waxbill,Estrilda nonnula,KU,Estrildidae: Waxbills
1305,1227,F,Black-headed  Waxbill,Estrilda atricapilla,KU,Estrildidae: Waxbills
1319,1265,f,Black-and-white Mannikin,Lonchura bicolor,KU,Estrildidae: Waxbills
1320,1267,f,Magpie Mannikin,Lonchura jringilloides,KU,Estrildidae: Waxbills
1332,1282,f,Yellow-crowned Canary,Serinus canicollis,KU,Fringillidae: Seed-eaters and canaries
1333,1283,f,African Citril,Serinus citrellinoides,KU,Fringillidae: Seed-eaters and canaries
1343,1292,f,Streaky Seed-eater,Serinus striolatus,KU,Fringillidae: Seed-eaters and canaries
1344,1281,FF,Thick-billed Seed-eater,Serinus burtoni,KU,Fringillidae: Seed-eaters and canaries
1349,1279,F,Oriole-Finch,Linurgus olivaceus,KU,Fringillidae: Seed-eaters and canaries
