OS-C,Br.,Cat,English name,Scientific name,Dist,Category
409,399,F,Red-chested  Cuckoo,Cuculus solitarius,KU,Cuculidae: Cuckoos and coucals
412,398,f,Asian Lesser Cuckoo,Cuculus poliocephalus,KU,Cuculidae: Cuckoos and coucals
413,398,f,Madagascar Lesser Cuckoo,Cuculus rochii,KU,Cuculidae: Cuckoos and coucals
414,385,FF,Dusky Long-tailed Cuckoo,Cercococcyx mechowi,U,Cuculidae: Cuckoos and coucals
415,387,FF,Olive Long-tailed Cuckoo,Cercococcyx olivinus,U,Cuculidae: Cuckoos and coucals
416,386,FF,Barred Long-tailed Cuckoo,Cercococcyx montanus,KU,Cuculidae: Cuckoos and coucals
417,389,F,African Emerald Cuckoo,Chrysococcyx cupreus,KU,Cuculidae: Cuckoos and coucals
418,390,FF,Yellow-throated Cuckoo,Chrysococcyx  jlavigularis,U,Cuculidae: Cuckoos and coucals
419,391,f,Klaas's Cuckoo,Chrysococcyx klaas,KU,Cuculidae: Cuckoos and coucals
421,401,F,Yellowbill,Ceuthmochares aereus,KU,Cuculidae: Cuckoos and coucals
425,405,f,Senegal Coucal,Centropus senegalensis,KU,Cuculidae: Cuckoos and coucals
430,421,FF,Sokoke Scops Owl,Otus ireneae,K,Strigidae: Typical owls
437,415,FF,Fraser's Eagle Owl,Bubo poensis,U,Strigidae: Typical owls
440,425,F,Pel's Fishing Owl,Scotopelia peli,KU,Strigidae: Typical owls
442,420,FF,Red-chested Owlet,Glaucidium tephronotum,KU,Strigidae: Typical owls
443,417,F,African Barred Owlet,Glaucidium capense schlefferi ,K,Strigidae: Typical owls
443,418,FF,Chestnut Owlet,Glaucidium capense castaneum,U,Strigidae: Typical owls
444,416,F,African Wood Owl,Strix woodfordi,KU,Strigidae: Typical owls
445,411,FF,African Long-eared  Owl,Asio abyssinicus,KU,Strigidae: Typical owls
448,436,F,Fiery-necked  Nightjar,Caprimulgus  pectoralis,KU,Caprimulgidae: Nightjars
449,437,F,Montane Nightjar,Caprimulgus  poliocephalus,KU,Caprimulgidae: Nightjars
458,426,FF,Bates' s Nightjar,Caprimulgus batesi,U,Caprimulgidae: Nightjars
464,436,F,Sabine's Spinetail,Raphidura sabini,KU,Apodidae: Swifts
465,455,FF,Cassin' s Spinetail,Neafrapus cassini,U,Apodidae: Swifts
466,454,F,Bohm's Spinetail,Neafrapus boehmi,K,Apodidae: Swifts
467,457,F,Mottled Spinetail,Telacanthura ussheri,KU,Apodidae: Swifts
468,453,F,Scarce Swift,Schoutedenapus myoptilus,KU,Apodidae: Swifts
464,436,F,Narina Trogon,Apaloderma narina,KU,Trogonidae: Trogons
485,463,FF,Bar-tailed Trogon,Apaloderma vittatum ,KU,Trogonidae: Trogons
486,473,f,Grey-headed  Kingfisher,Halcyon leucocephala,KU,Alcedinidae: Kingfishers
490,474,F,Blue-breasted Kingfisher,Halcyon malimbica,U,Alcedinidae: Kingfishers
492,471,FF,Chocolate-backed Kingfisher,Halcyon badia,U,Alcedinidae: Kingfishers
493,469,F,Half-collared  Kingfisher,Alcedo semitorquata,K,Alcedinidae: Kingfishers
494,468,FF,Shining-blue Kingfisher,Alcedo quadribrachys,KU,Alcedinidae: Kingfishers
496,467,FF,White-bellied Kingfisher,Alcedo leucogaster,U,Alcedinidae: Kingfishers
497,478,f,African Pygmy Kingfisher,lspidina picta,KU,Alcedinidae: Kingfishers
498,477,FF,African Dwarf Kingfisher,Ispidina lecontei,U,Alcedinidae: Kingfishers
501,480,f,Eurasian Bee-eater,Merops apiaster,KU,Meropidae: Bee-eaters
505,479,f,White-throated Bee-eater,Merops albicollis,KU,Meropidae: Bee-eaters
508,484,FF,Black Bee-eater,Merops gularis,U,Meropidae: Bee-eaters
509,486,FF,Blue-headed Bee-eater,Merops muelleri,K,Meropidae: Bee-eaters
514,488,F,Cinnamon-chested Bee-eater,Merops oreobates,KU,Meropidae: Bee-eaters
522,500,f,Broad-billed  Roller,Eurystomus glaucurus,KU,Coraciidae: Rollers
523,501,FF,Blue-throated  Roller,Eurystomus gularis,U,Coraciidae: Rollers
525,503,FF,White-headed Wood-hoopoe,Phoeniculus bollei,KU,Phoeniculidae: Wood-hoopoes
526,504,FF,Forest Wood-hoopoe,Phoeniculus castaneiceps,U,Phoeniculidae: Wood-hoopoes
535,526,FF,White-crested  Hombill,Tropicranus albocristatus,U,Bucerotidae: Hornbills
536,521,FF,Black Dwarf Hombill,Tockus hartlaubi,U,Bucerotidae: Hornbills
537,516,FF,Red-billed Dwarf  Hombill,Tockus camurus,U,Bucerotidae: Hornbills
543,515,f,Crowned  Hombill,Tockus alboterminatus,KU,Bucerotidae: Hornbills
544,519,F,African Pied Hombill,Tockus fasciatus,U,Bucerotidae: Hornbills
547,510,F,Trumpeter  Hornbill,Bycanistes bucinator,K,Bucerotidae: Hornbills
548,512,FF,Piping Hombill,Bycanistes fistulator,U,Bucerotidae: Hornbills
549,509,F,Silvery-cheeked Hornbill,Bycanistes brevis,K,Bucerotidae: Hornbills
550,513,F,Black-and-white-casqued Hombill,Bycanistes subcylindricus,KU,Bucerotidae: Hornbills
551,511,FF,White-thighed Hombill,Bycanistes cylindricus,U,Bucerotidae: Hornbills
552,514,FF,Black-wattled Hombill,Ceratogymna atrata,U,Bucerotidae: Hornbills
553,533,F,Grey-throated Barbet,Gymnobucco bonapartei,KU,Capitonidae: Barbets and tinkerbirds
554,530,F,White-eared  Barbet,Stactolaema leucotis,KU,Capitonidae: Barbets and tinkerbirds
556,531,FF,Green Barbet,Stactolaema olivacea,K,Capitonidae: Barbets and tinkerbirds
557,553,F,Speckled Tinkerbird,Pogoniulus scolopaceus,KU,Capitonidae: Barbets and tinkerbirds
558,550,FF,Western Green Tinkerbird,Pogoniulus coryphaeus,U,Capitonidae: Barbets and tinkerbirds
559,554,FF,Eastern Green Tinkerbird,Pogoniulus simplex,K,Capitonidae: Barbets and tinkerbirds
560,551,FF,Moustached Green Tinkerbird,Pogoniulus leucomystax,KU,Capitonidae: Barbets and tinkerbirds
561,547,FF,Red-rumped Tinkerbird,Pogoniulus atrojlavus,U,Capitonidae: Barbets and tinkerbirds
562,555,FF,Yellow-throated Tinkerbird,Pogoniulus subsulphureus,U,Capitonidae: Barbets and tinkerbirds
563,548,F,Yellow-rumped  Tinkerbird,Pogoniulus bilineatus,KU,Capitonidae: Barbets and tinkerbirds
566,529,FF,Yellow-spotted Barbet,Buccanodon duchaillui,KU,Capitonidae: Barbets and tinkerbirds
567,538,F,Hairy-breasted Barbet,Tricholaema hirsuta,KU,Capitonidae: Barbets and tinkerbirds
573,545,F,Red-faced Barbet,Lybius rubrifacies,U,Capitonidae: Barbets and tinkerbirds
575,546,f,Black-collared Barbet,Lybius torquatus,KU,Capitonidae: Barbets and tinkerbirds
576,576,f,Brown-breasted Barbet,Lybius melanopterus,K,Capitonidae: Barbets and tinkerbirds
578,534,f,Double-toothed Barbet,Lybius bidentatus,KU,Capitonidae: Barbets and tinkerbirds
580,556,F,Yellow-billed Barbet,Trachylaemus  purpuratus,KU,Capitonidae: Barbets and tinkerbirds
584,564,FF,Spotted Honeyguide,Indicator maculatus,U,Indicatoridae: Honeyguides
585,569,f,Scaly-throated Honeyguide,Indicator variegatus,KU,Indicatoridae: Honeyguides
586,563,f,Greater Honeyguide,Indicator indicator,KU,Indicatoridae: Honeyguides
587,566,f,Lesser Honeyguide,Indicator exilis,KU,Indicatoridae: Honeyguides
588,561,FF,Thick-billed  Honeyguide,Indicator conirostris,KU,Indicatoridae: Honeyguides
589,562,FF,Least Honeyguide,Indicator exilis,KU,Indicatoridae: Honeyguides
590,570,FF,Willcocks' s Honeyguide,Indicator willcocksi,U,Indicatoridae: Honeyguides
591,568,FF,Dwarf Honeyguide,Indicator pumilio,U,Indicatoridae: Honeyguides
592,565,f,Pallid Honeyguide,Indicator meliphilus,KU,Indicatoridae: Honeyguides
593,,FF,Lyre-tailed Honeyguide,Melichneutes robustus,U,Indicatoridae: Honeyguides
594,571,FF,Zenker's Honeyguide,Melignomon zenkeri,U,Indicatoridae: Honeyguides
595,572,FF,Cassin's Honeybird,Prodotiscus insignis,KU,Indicatoridae: Honeyguides
596,574,f,Eastern Honeybird,Prodotiscus zambesiae,K,Indicatoridae: Honeyguides
597,573,f,Wahlberg's Honeybird,Prodotiscus regulus,KU,Indicatoridae: Honeyguides
599,575,f,Red-throated Wryneck,lynx ruficollis,KU,Picidae: Wrynecks and woodpeckers
600,577,FF,African Piculet,Sasia africana,U,Picidae: Wrynecks and woodpeckers
603,578,F,Golden-tailed  Woodpecker,Campethera abingoni,KU,Picidae: Wrynecks and woodpeckers
604,,F,Mombasa Woodpecker,Campethera mombassica,K,Picidae: Wrynecks and woodpeckers
605,580,f,Green-backed  Woodpecker,Campethera cailliautii,KU,Picidae: Wrynecks and woodpeckers
606,584,FF,Fine-banded Woodpecker,Campethera tullbergi,KU,Picidae: Wrynecks and woodpeckers
607,582,F,Buff-spotted Woodpecker,Campethera nivosa,KU,Picidae: Wrynecks and woodpeckers
608,581,F,Brown-eared Woodpecker,Campethera caroli,KU,Picidae: Wrynecks and woodpeckers
610,585,f,Cardinal Woodpecker (race Lepidus),Dendropicos fuscescens lepidus,KU,Picidae: Wrynecks and woodpeckers
611,586,F,Gabon Woodpecker,Dendropicos gabonensis,U,Picidae: Wrynecks and woodpeckers
613,594,f,Bearded Woodpecker,Dendropicos namaquus,KU,Picidae: Wrynecks and woodpeckers
614,592,F,Yellow-crested Woodpecker,Dendropicos xantholophus,KU,Picidae: Wrynecks and woodpeckers
615,589,FF,Elliot's Woodpecker,Dendropicos elliotii,U,Picidae: Wrynecks and woodpeckers
616,590,f,Grey Woodpecker,Dendropicos goertae,KU,Picidae: Wrynecks and woodpeckers
617,591,FF,Olive Woodpecker,Dendropicos griseocephalus,U,Picidae: Wrynecks and woodpeckers
619,596,FF,African Broadbill,Smithomis capensis,KU,Eurylaimidae: Broadbills
620,597,FF,Red-sided Broadbill,Smitomis rufolateralis,U,Eurylaimidae: Broadbills
621,598,FF,African Green Broadbill,Pseudocalyptomena graueri,U,Eurylaimidae: Broadbills
622,598,FF,African Pitta,Pitta angolensis,KU,Pittidae: Pittas
623,599,FF,Green-breasted Pitta,Pitta reichenowi,U,Pittidae: Pittas
656,,FF,White-throated Blue Swallow,Hirundo nigrita ,U,Hirundinidae: Swallow and martins
670,639,f,White-headed Saw-wing,Psalidoprocne albiceps,KU,Hirundinidae: Swallow and martins
672,640,f,Black Saw-wing ,Psalidoprocne holomelas,KU,Hirundinidae: Swallow and martins
675,994,F,Grey Wagtail,Motacilla cinerea,KU,"Motacillidae:  Wagtails,  pipits and longclaws"
