,ebird code,Scientific Name,Common Name
118,taifal1,Falco fasciinucha,Taita Falcon
119,secret2,Sagittarius serpentarius,Secretarybird
120,osprey,Pandion haliaetus,Osprey
121,afrcuh1,Aviceda cuculoides,African Cuckoo Hawk
122,euhbuz1,Pernis apivorus,European Honey Buzzard
123,bathaw1,Macheiramphus alcinus,Bat Hawk
124,bkskit1,Elanus caeruleus,African Black-shouldered Kite
125,sctkit1,Chelictinia riocourii,African Swallow-tailed Kite
126,blakit1,Milvus migrans,Black Kite
127,panvul1,Gypohierax angolensis,Palm-nut Vulture
128,lammer1,Gypaetus barbatus,Lammergeier
129,egyvul1,Neophron percnopterus,Egyptian Vulture
130,hoovul1,Necrosyrtes monachus,Hooded Vulture
131,whbvul1,Gyps africanus,White-backed Vulture
132,whhvul1,Trigonoceps occipitalis,White-headed Vulture
133,lafvul1,Torgos tracheliotus,Lappet-faced Vulture
134,shteag1,Circaetus gallicus,Short-toed Snake Eagle
135,beasne1,Circaetus beaudouini,Beaudouin's Snake Eagle
136,bkbsne1,Circaetus pectoralis,Black-chested Snake Eagle
137,brseag1,Circaetus cinereus,Brown Snake Eagle
138,faseag1,Circaetus fasciolatus,Southern Banded Snake Eagle
139,baseag1,Circaetus cinerascens,Western Banded Snake Eagle
140,batele1,Terathopius ecaudatus,Bateleur
141,wemhar1,Circus aeruginosus,Western Marsh Harrier
142,afmhar1,Circus ranivorus,African Marsh Harrier
143,palhar1,Circus macrourus,Pallid Harrier
144,monhar1,Circus pygargus,Montagu's Harrier
145,afhhaw1,Polyboroides typus,African Harrier Hawk
146,dacgos1,Melierax metabates,Dark Chanting Goshawk
147,eacgos1,Melierax poliopterus,Eastern Chanting Goshawk
148,gabgos2,Micronisus gabar,Gabar Goshawk
149,afrgos1,Accipiter tachiro,African Goshawk
150,shikra1,Accipiter badius,Shikra
151,levspa1,Accipiter brevipes,Levant Sparrowhawk
152,litspa1,Accipiter minullus,Little Sparrowhawk
153,ovaspa2,Accipiter ovampensis,Ovambo Sparrowhawk
154,eurspa1,Accipiter nisus,Eurasian Sparrowhawk
155,rucspa2,Accipiter rufiventris,Rufous-breasted Sparrowhawk
156,blagos1,Accipiter melanoleucus,Great Sparrowhawk
